County,Less_Than_High_School_Diploma,At_Least_High_School_Diploma,At_Least_Bachelors's_Degree,Graduate_Degree,School_Enrollment,Median_Earnings_2010,White_Not_Latino_Population,African_American_Population,Native_American_Population,Asian_American_Population,Other_Race_or_Races,Latino_Population,Children_Under_6_Living_in_Poverty,Adults_65_and_Older_Living_in_Poverty,Total_Population,Preschool_Enrollment_Ratio_enrolled_ages_3_and_4,Poverty_Rate_below_federal_poverty_threshold,Gini_Coefficient,Child_Poverty_living_in_families_below_the_poverty_line,Management_professional_and_related_occupations,Service_occupations,Sales_and_office_occupations,Farming_fishing_and_forestry_occupations,Construction_extraction_maintenance_and_repair_occupations,Production_transportation_and_material_moving_occupations,SIRE_homogeneity,median_age,Poor_physical_health_days,Poor_mental_health_days,Low_birthweight,Teen_births,Children_in_single_parent_households,Adult_smoking,Adult_obesity,Diabetes,Sexually_transmitted_infections,HIV_prevalence_rate,Uninsured,Unemployment,Violent_crime,Homicide_rate,Injury_deaths,Infant_mortality,Result_2016
"Russell County, Kansas",9.9,90.1,20.4,6.7,77.85,23174.370475,95.15,0.65,0.3,0.25,2.05,1.55,41.05,9.45,6827,68.4,15.95,0.467,29.55,28.75,15.95,27.45,1.6,13.15,13.1,0.90607025,45.9,3.1,3.3,0.09,42.2,0.249,0.191,0.313,0.122,201.3,84.04166666666669,0.174,0.042,413.46,5.603,83.9,8.010526315789473,0
"Sedgwick County, Kansas",12.3,87.7,27.5,8.9,75.95,29186.374605,71.75,8.8,0.75,3.85,3.15,11.7,22.05,8.7,487280,44.1,13.5,0.444,18.45,33.6,15.6,25.2,0.2,10.7,14.65,0.53877,34.4,3.2,3.2,0.08,53.7,0.33899999999999997,0.18899999999999997,0.3,0.099,538.4,176.8,0.155,0.069,682.75,5.95,65.2,8.0,0
"Stevens County, Kansas",21.0,79.0,13.9,4.2,77.6,29374.36984,67.7,0.3,0.4,0.3,0.9,30.4,24.6,11.35,5434,51.2,12.25,0.37200000000000005,16.8,30.0,10.7,21.2,7.5,17.65,12.9,0.55086,34.5,3.028571428571429,1.1,0.04,50.9,0.10400000000000001,0.245,0.337,0.10300000000000001,124.7,84.04166666666669,0.215,0.040999999999999995,25.53,5.603,104.9,8.010526315789473,0
"Wilson County, Kansas",17.7,82.3,10.7,3.8,71.4,21769.425715,94.3,0.15,0.65,0.2,2.35,2.3,24.3,12.1,9538,54.1,14.65,0.392,17.85,26.6,17.15,22.35,1.15,9.05,23.7,0.89037875,44.1,3.1,3.7,0.08,60.9,0.369,0.226,0.34,0.11900000000000001,193.5,84.04166666666669,0.163,0.086,259.46,5.603,100.0,8.010526315789473,0
"Todd County, Kentucky",27.2,72.8,10.0,4.4,71.9,24036.998730000003,87.15,8.25,0.1,0.05,1.1,3.35,24.0,20.6,12251,36.6,19.65,0.433,28.55,23.75,16.35,20.65,3.75,11.3,24.2,0.767563,36.5,6.1,5.4,0.09,37.8,0.304,0.285,0.32899999999999996,0.115,232.7,105.9,0.22,0.079,65.15,5.38138888888889,71.5,7.602857142857143,0
"Bossier Parish, Louisiana",13.3,86.7,21.6,6.5,70.8,28578.594605000002,69.9,20.95,0.5,1.55,1.75,5.35,25.55,7.0,112850,50.3,13.75,0.43799999999999994,20.95,29.95,18.25,25.75,0.3,13.5,12.2,0.535925,34.6,3.2,3.6,0.11,50.7,0.371,0.256,0.33899999999999997,0.11,451.0,136.1,0.185,0.054000000000000006,511.3,5.37,59.6,8.2,0
"Lafourche Parish, Louisiana",27.9,72.1,14.3,4.4,73.2,29404.67778,79.05,13.35,2.5,0.8,1.35,3.0,28.1,10.5,94585,48.6,15.5,0.461,22.75,27.0,15.3,24.2,1.05,14.45,18.0,0.64448375,36.3,3.6,3.6,0.09,44.8,0.353,0.226,0.38,0.11599999999999999,586.6,121.2,0.207,0.044000000000000004,179.81,5.59,71.9,7.7,0
"Dukes County, Massachusetts",6.5,93.5,40.0,18.1,75.75,31559.171110000003,86.6,3.2,1.55,0.5,6.7,1.45,0.85,8.4,16105,79.0,8.3,0.461,4.25,30.05,19.05,22.95,1.5,19.6,6.85,0.7559445,44.3,3.5,3.5,0.05,10.1,0.317,0.121,0.196,0.079,226.6,231.7,0.073,0.069,243.22,2.8790000000000004,38.4,4.8545454545454545,1
"Frederick County, Maryland",8.6,91.4,35.8,13.9,79.85,41578.734919999995,79.2,8.2,0.25,3.65,2.25,6.45,7.05,5.55,228785,45.4,4.8,0.376,5.75,43.55,13.5,25.5,0.3,10.45,6.65,0.639993,37.9,2.7,3.2,0.08,21.5,0.22399999999999998,0.149,0.267,0.08800000000000001,220.5,149.7,0.099,0.057999999999999996,302.43,2.46,47.2,5.8,0
"Androscoggin County, Maine",13.6,86.4,18.4,5.9,75.5,26370.96889,89.2,3.55,0.4,0.65,4.65,1.55,29.25,12.15,107233,38.1,14.9,0.414,22.1,30.2,16.05,28.45,0.65,10.3,14.35,0.799385,39.4,3.7,3.7,0.07,36.8,0.36700000000000005,0.183,0.313,0.10099999999999999,340.8,125.3,0.11900000000000001,0.07400000000000001,155.4,2.26,55.1,6.6,0
"Pottawatomie County, Oklahoma",16.6,83.4,16.6,5.4,74.75,23296.609205,75.45,3.1,11.1,0.55,5.9,3.8,25.8,10.3,69198,36.4,17.35,0.43200000000000005,25.9,29.05,19.2,22.65,0.6,12.95,15.5,0.5875075,37.2,5.3,4.5,0.07,57.9,0.344,0.308,0.37200000000000005,0.12,448.2,67.1,0.222,0.048,462.59,4.6,91.1,7.1,0
